,Unnamed: 0,pair,beta,se,pvals,exposure_name,outcome_name
81,45,0124_vs_BD,0.137892943079696,0.0449733203798224,0.006974774000459,IDP T1 FAST ROIs L caudate,BD
82,46,1971_vs_BD,-0.0777678921762055,0.0248168091152449,0.005648825148815,IDP dMRI ProbtrackX ICVF slf l,BD
83,47,1924_vs_BD,-0.0969757229313408,0.0284732659240163,0.0022983737684343,IDP dMRI TBSS ICVF Anterior corona radiata R,BD
84,48,1992_vs_BD,0.153114043202847,0.0404755826981443,0.0005851201837371,IDP dMRI TBSS OD Cerebral peduncle L,BD
85,49,1974_vs_BD,-0.107991411242518,0.0289530366820679,0.0007152369423745,IDP dMRI ProbtrackX ICVF str r,BD
86,50,1943_vs_BD,-0.0773327816523884,0.0244773689706553,0.0052084619031222,IDP dMRI TBSS ICVF Superior longitudinal fasciculus L,BD
87,51,1941_vs_BD,-0.0933812679988613,0.0294534963551233,0.0050282605480203,IDP dMRI TBSS ICVF Fornix cres+Stria terminalis L,BD
88,52,1938_vs_BD,-0.0872233071720355,0.0256016313119077,0.0022898202063692,IDP dMRI TBSS ICVF Cingulum hippocampus R,BD
89,53,1959_vs_BD,-0.102134293955545,0.0335442295007238,0.0074486217714442,IDP dMRI ProbtrackX ICVF cst r,BD
90,54,1905_vs_BD,-0.0828437601888743,0.0224201458376459,0.0008156786727618,IDP dMRI TBSS ICVF Body of corpus callosum,BD
91,55,2113_vs_BD,-0.112266472531719,0.0289617896153287,0.0004078714903132,IDP dMRI ProbtrackX ISOVF ifo r,BD
92,56,1953_vs_BD,-0.171807903271864,0.0391215982470863,4.778556672267086e-05,IDP dMRI ProbtrackX ICVF atr r,BD
93,57,2115_vs_BD,-0.0997430087432412,0.0252150020065307,0.0002979179898971,IDP dMRI ProbtrackX ISOVF ilf r,BD
94,58,1643_vs_BD,0.132946157007446,0.0401742567621622,0.0031892196794437,IDP dMRI TBSS MD Superior longitudinal fasciculus L,BD
95,59,1717_vs_BD,0.118372399119691,0.0335537797407214,0.0014997394962591,IDP dMRI TBSS L2 Posterior limb of internal capsule L,BD
96,60,1408_vs_BD,-0.09164417818428,0.0245487381198471,0.0007067408231258,wg rh intensity-contrast fusiform,BD
97,61,0073_vs_SCZ,0.133986716201486,0.0335011189334585,0.000249854108798,IDP T1 FAST ROIs R intracalc cortex,SCZ
98,62,1470_vs_SCZ,0.178758060555256,0.048945012893043,0.0009562245134753,IDP dMRI TBSS FA Posterior limb of internal capsule R,SCZ
99,63,1381_vs_MDD,0.0606987443105583,0.0130808667958404,1.548564765272379e-05,wg lh intensity-contrast middletemporal,MDD
100,64,1373_vs_MDD,0.0513968670826218,0.0115062572853115,3.4201357745650445e-05,wg lh intensity-contrast fusiform,MDD
101,65,0694_vs_SCZ,0.146287147299526,0.0401233171153367,0.0009784648784556,aparc-Desikan rh area lingual,SCZ
102,66,0694_vs_MDD,0.0471664400993844,0.0147361987243121,0.0045620856550415,aparc-Desikan rh area lingual,MDD
103,67,0660_vs_SCZ,0.163897503816357,0.044719601401383,0.0009126119674254,aparc-Desikan lh area lingual,SCZ
104,68,1405_vs_MDD,0.0574664699383437,0.0155113192982149,0.0007862286846396,wg rh intensity-contrast caudalmiddlefrontal,MDD
105,69,0125_vs_MDD,0.0590591190196934,0.0172873348473164,0.0022175983409029,IDP T1 FAST ROIs R caudate,MDD
106,70,1922_vs_MDD,-0.0575246464828814,0.0158707277734466,0.0010581433806123,IDP dMRI TBSS ICVF Retrolenticular part of internal capsule R,MDD
107,71,0686_vs_SCZ,0.147546880243587,0.0403119406454561,0.0009292412988921,aparc-Desikan rh area cuneus,SCZ
108,72,0147_vs_ADHD,-0.126013631515991,0.0416070143142807,0.0078273508909771,IDP T1 FAST ROIs L cerebellum crus II,ADHD
109,73,1965_vs_MDD,-0.0457741400678963,0.0141937135192816,0.0042174424074869,IDP dMRI ProbtrackX ICVF ilf r,MDD
110,74,1417_vs_MDD,0.0637858018887342,0.0164174185723605,0.0003938232817463,wg rh intensity-contrast parahippocampal,MDD
111,75,0989_vs_SCZ,0.163833724141857,0.0369258930826993,3.910806944298137e-05,aparc-a2009s rh area S-calcarine,SCZ
112,76,1378_vs_MDD,0.0418049066380202,0.012581961351653,0.0030483041521921,wg lh intensity-contrast lateralorbitofrontal,MDD
113,77,0434_vs_SCZ,0.146656273905288,0.0423631495056522,0.0018926198692166,BA-exvivo rh volume V2,SCZ
114,78,1395_vs_MDD,0.0488302842688708,0.0127075057713731,0.0004651867386337,wg lh intensity-contrast superiorparietal,MDD
115,79,1426_vs_MDD,0.0349018831397273,0.0109037921458734,0.0045594930262394,wg rh intensity-contrast precuneus,MDD
116,80,0280_vs_ADHD,-0.193443614384604,0.0547259954587832,0.0014630086588747,HippSubfield rh volume CA4-body,ADHD
117,81,0380_vs_SCZ,0.161171601019461,0.0430837927194434,0.000686419031371,aparc-Desikan rh volume cuneus,SCZ
118,82,0173_vs_SCZ,0.128748132799886,0.0385601827927629,0.0028847458636749,aseg global volume VentricleChoroid,SCZ
119,83,0173_vs_ADHD,-0.181705251224361,0.0478640835356779,0.0005557856730701,aseg global volume VentricleChoroid,ADHD
120,84,0433_vs_SCZ,0.175891883952881,0.0443634817231094,0.0002872015515045,BA-exvivo rh volume V1,SCZ
121,85,1931_vs_MDD,-0.0611744272899339,0.0146484065772993,0.0001208789761387,IDP dMRI TBSS ICVF Posterior thalamic radiation L,MDD
122,86,0820_vs_SCZ,0.157720253404306,0.0434309074857292,0.0010314403902603,aparc-DKTatlas lh area lingual,SCZ
123,87,1430_vs_MDD,0.0518744003865366,0.0132887641791685,0.0003666051854128,wg rh intensity-contrast superiorparietal,MDD
124,88,1716_vs_MDD,0.0695585894710914,0.0174454401898959,0.0002625720664396,IDP dMRI TBSS L2 Posterior limb of internal capsule R,MDD
125,89,1625_vs_MDD,0.0607253956293997,0.0172691440642036,0.0015625392738376,IDP dMRI TBSS MD Anterior corona radiata L,MDD
126,90,1464_vs_SCZ,0.152905343913277,0.0414920841898059,0.0008463806799597,IDP dMRI TBSS FA Superior cerebellar peduncle R,SCZ
127,91,1374_vs_MDD,0.0437920301827846,0.0126053381250263,0.0018139853005474,wg lh intensity-contrast inferiorparietal,MDD
128,92,1375_vs_MDD,0.0784541194380559,0.0143039075143799,2.113773138874883e-07,wg lh intensity-contrast inferiortemporal,MDD
129,93,0262_vs_ADHD,-0.220290823343194,0.048580339583742,2.515087356976353e-05,HippSubfield lh volume Whole-hippocampal-body,ADHD
130,94,1409_vs_MDD,0.0555270848660986,0.0113580220414301,4.70553972148159e-06,wg rh intensity-contrast inferiorparietal,MDD
131,95,1905_vs_MDD,-0.0440944356238222,0.0120279853156056,0.0009094098288596,IDP dMRI TBSS ICVF Body of corpus callosum,MDD
132,96,0233_vs_SCZ,-0.151842710837707,0.0465986496327663,0.0037763578811051,AmygNuclei rh volume Lateral-nucleus,SCZ
133,97,0025_vs_SCZ,-0.163249219941109,0.0471789583295185,0.0019035839567506,IDP T1 FIRST brain stem+4th ventricle volume,SCZ
134,98,3916_vs_SCZ,0.226275655100824,0.0442897906603448,1.5605808543194806e-06,rfMRI connectivity ICA-features 3,SCZ
135,99,3916_vs_MDD,0.0668107632793849,0.0196862951728043,0.0023956343785573,rfMRI connectivity ICA-features 3,MDD
136,100,0154_vs_SCZ,-0.147709515027113,0.0439298829032621,0.0026644884840258,IDP T1 FAST ROIs V cerebellum VIIIa,SCZ
137,101,0882_vs_MDD,0.0558536317193305,0.017763264070019,0.0054649272273806,aparc-a2009s lh area G-cuneus,MDD
138,102,0956_vs_SCZ,0.135485162754469,0.0347800918894433,0.0003785682873009,aparc-a2009s rh area G-cuneus,SCZ
139,103,1429_vs_MDD,0.0448191548172531,0.0124199816764683,0.0011213359332125,wg rh intensity-contrast superiorfrontal,MDD
140,104,1953_vs_SCZ,-0.166682710690155,0.0511465888934783,0.0037714646745467,IDP dMRI ProbtrackX ICVF atr r,SCZ
141,105,1953_vs_MDD,-0.0711867657931653,0.0165096082930483,6.772818985602927e-05,IDP dMRI ProbtrackX ICVF atr r,MDD
142,106,0967_vs_SCZ,0.143846150119584,0.0457964735813852,0.0055221342794371,aparc-a2009s rh area G-oc-temp-med-Lingual,SCZ
143,107,0340_vs_SCZ,-0.088197952971002,0.0273019774462879,0.0041432563027832,Brainstem global volume Pons,SCZ
144,108,1410_vs_MDD,0.0491413036409299,0.0116499077957291,0.0001012435238947,wg rh intensity-contrast inferiortemporal,MDD
145,109,0135_vs_MDD,0.0517806340532839,0.0125677275896231,0.0001526487570673,IDP T1 FAST ROIs R ventral striatum,MDD
