pair,beta_unadj,se,adj_p,exp_cat,out_cat,dce_beta,exp,out,non_zero_in_dce,exposure_name,outcome_name
1959_vs_BD,-0.101804103350522,0.033493236404055,0.0073507483279427,WM tract ICVF,bd/scz,-0.0005822827623788,1959,BD,True,IDP dMRI ProbtrackX ICVF cst r,BD
1963_vs_AUD,0.032744293907902,0.0096122348594881,0.0022335565563848,WM tract ICVF,substance use,0.0077828265100101,1963,AUD,True,IDP dMRI ProbtrackX ICVF ifo r,AUD
1965_vs_MDD,-0.0713337021904321,0.0147810663735172,6.3801424991357635e-06,WM tract ICVF,internalizing,-0.0191456340560219,1965,MDD,True,IDP dMRI ProbtrackX ICVF ilf r,MDD
1967_vs_TUD,0.0370147629694286,0.0099026920117095,0.0006800238361735,WM tract ICVF,substance use,0.013132664695439,1967,TUD,True,IDP dMRI ProbtrackX ICVF ml l,TUD
1974_vs_BD,-0.126449317265546,0.0341247758904685,0.0007676257769916,WM tract ICVF,bd/scz,-0.0070986395419782,1974,BD,True,IDP dMRI ProbtrackX ICVF str r,BD
1974_vs_TUD,-0.0338429253936744,0.0114375414236421,0.0093844499167862,WM tract ICVF,substance use,-0.0106246476095308,1974,TUD,True,IDP dMRI ProbtrackX ICVF str r,TUD
1974_vs_AUD,-0.0470332883870163,0.0150658537264629,0.0056995675466492,WM tract ICVF,substance use,-0.0051457872230783,1974,AUD,True,IDP dMRI ProbtrackX ICVF str r,AUD
2113_vs_BD,-0.112586990969622,0.0289499150169138,0.0003810920756143,WM tract ISOVF,bd/scz,-0.0152768587213463,2113,BD,True,IDP dMRI ProbtrackX ISOVF ifo r,BD
2114_vs_BD,-0.0842891065898246,0.0275848266053074,0.0069976801537171,WM tract ISOVF,bd/scz,-0.0067386534251385,2114,BD,True,IDP dMRI ProbtrackX ISOVF ilf l,BD
2115_vs_BD,-0.0993575183311405,0.0251811478261815,0.0003047359499513,WM tract ISOVF,bd/scz,-0.0187752287473179,2115,BD,True,IDP dMRI ProbtrackX ISOVF ilf r,BD
1842_vs_AUD,-0.0482222621867394,0.014576106065796,0.0031125089205727,WM tract diffusivity,substance use,-0.0124113445311579,1842,AUD,True,IDP dMRI ProbtrackX L1 slf l,AUD
1859_vs_MDD,0.0590053607557849,0.0180466779858191,0.0035410617120598,WM tract diffusivity,internalizing,0.0040903941663348,1859,MDD,True,IDP dMRI ProbtrackX L2 fmi,MDD
1859_vs_AUD,-0.0397512236192595,0.0122048095010501,0.0036898775824976,WM tract diffusivity,substance use,-0.0091773061905364,1859,AUD,True,IDP dMRI ProbtrackX L2 fmi,AUD
1886_vs_MDD,0.0798971970751474,0.0184847697869555,6.396571239224493e-05,WM tract diffusivity,internalizing,0.0143718279315692,1886,MDD,True,IDP dMRI ProbtrackX L3 fmi,MDD
1887_vs_BD,0.153152953089702,0.0462070014622259,0.0030490007457165,WM tract diffusivity,bd/scz,0.0,1887,BD,False,IDP dMRI ProbtrackX L3 ifo l,BD
1890_vs_MDD,-0.0912345241398518,0.0257245399318845,0.0013671348455701,WM tract diffusivity,internalizing,-0.0054168522382073,1890,MDD,True,IDP dMRI ProbtrackX L3 ilf r,MDD
1805_vs_MDD,0.0770303893155139,0.0196247831249606,0.0003306078039199,WM tract diffusivity,internalizing,0.0115187120781706,1805,MDD,True,IDP dMRI ProbtrackX MD fmi,MDD
1815_vs_PTSD,0.07005652757572,0.022232836677893,0.0051981110232901,WM tract diffusivity,internalizing,0.0042920876351269,1815,PTSD,True,IDP dMRI ProbtrackX MD slf l,PTSD
1815_vs_AUD,-0.0540851271616437,0.0160592437783902,0.002548530381385,WM tract diffusivity,substance use,-0.0142202140867974,1815,AUD,True,IDP dMRI ProbtrackX MD slf l,AUD
