pair,beta_unadj,se,adj_p,exp_cat,out_cat,dce_beta,exp,out,non_zero_in_dce,exposure_name,outcome_name
3915_vs_ADHD,-0.125152346385319,0.0389560729994991,0.0042656232864534,rfMRI connectivity,neurodevelopmental,0.0,3915,ADHD,False,rfMRI connectivity ICA-features 2,ADHD
3915_vs_CUD,0.12409370913896,0.0417181116115891,0.0089530669269585,rfMRI connectivity,substance use,0.0,3915,CUD,False,rfMRI connectivity ICA-features 2,CUD
3916_vs_SCZ,0.226275655100824,0.0442897906603448,1.5620279510891264e-06,rfMRI connectivity,bd/scz,0.0189400543448978,3916,SCZ,True,rfMRI connectivity ICA-features 3,SCZ
3916_vs_MDD,0.0677631297132982,0.0209676211080995,0.004010120510737,rfMRI connectivity,internalizing,0.0068866320985637,3916,MDD,True,rfMRI connectivity ICA-features 3,MDD
3916_vs_CUD,0.203399503067367,0.0545411814311854,0.0007022252414968,rfMRI connectivity,substance use,0.0,3916,CUD,False,rfMRI connectivity ICA-features 3,CUD
3919_vs_SCZ,-0.229627991254918,0.0575731315181411,0.000256740524206,rfMRI connectivity,bd/scz,0.0,3919,SCZ,False,rfMRI connectivity ICA-features 6,SCZ
MDD_vs_3919,0.259598144479294,0.0595550036040525,5.45912661208813e-05,internalizing,rfMRI connectivity,0.0,MDD,3919,False,MDD,rfMRI connectivity ICA-features 6
3919_vs_ANX,0.0800517500820889,0.0244702652529239,0.0035196660334918,rfMRI connectivity,internalizing,0.0,3919,ANX,False,rfMRI connectivity ICA-features 6,ANX
1368_vs_AUD,0.0547027279910379,0.0140223833860994,0.0003637950248361,cortical grey-white contrast,substance use,0.0145606312067343,1368,AUD,True,wg lh intensity-contrast bankssts,AUD
1370_vs_ANX,0.100235201672802,0.0240424108786969,0.0001228895953971,cortical grey-white contrast,internalizing,0.0194327428724381,1370,ANX,True,wg lh intensity-contrast caudalmiddlefrontal,ANX
1370_vs_AUD,0.0537384860516686,0.0146579529474973,0.000888809863668,cortical grey-white contrast,substance use,0.0086151890287964,1370,AUD,True,wg lh intensity-contrast caudalmiddlefrontal,AUD
1371_vs_MDD,0.0568788910421869,0.0172542646082864,0.0032368368467902,cortical grey-white contrast,internalizing,0.0100251237028785,1371,MDD,True,wg lh intensity-contrast cuneus,MDD
1373_vs_MDD,0.0711008813214503,0.0132413252607782,3.9747297580262e-07,cortical grey-white contrast,internalizing,0.0206004419765927,1373,MDD,True,wg lh intensity-contrast fusiform,MDD
1373_vs_AUD,0.0356619197714027,0.0090638683823484,0.0003184183755273,cortical grey-white contrast,substance use,0.01253657980896,1373,AUD,True,wg lh intensity-contrast fusiform,AUD
1373_vs_CUD,-0.11679981321096,0.033451440828047,0.0016622334592427,cortical grey-white contrast,substance use,-0.0001338815294551,1373,CUD,True,wg lh intensity-contrast fusiform,CUD
1374_vs_MDD,0.0390033929965841,0.0127971131109674,0.0071678228436452,cortical grey-white contrast,internalizing,0.0054966699974007,1374,MDD,True,wg lh intensity-contrast inferiorparietal,MDD
1375_vs_MDD,0.0771973224035698,0.0149005288062066,1.0784401837960952e-06,cortical grey-white contrast,internalizing,0.0219346899070349,1375,MDD,True,wg lh intensity-contrast inferiortemporal,MDD
1375_vs_AUD,0.0354593768594501,0.0100608496543311,0.0014799265795655,cortical grey-white contrast,substance use,0.0060619152214669,1375,AUD,True,wg lh intensity-contrast inferiortemporal,AUD
SB_vs_1401,0.193758819436521,0.0599857932905636,0.004032567544727,suicidality,cortical grey-white contrast,0.0,SB,1401,False,SB,wg lh intensity-contrast insula
1401_vs_AUD,0.0333153425069003,0.0109844471377547,0.0075021957271533,cortical grey-white contrast,substance use,0.0,1401,AUD,False,wg lh intensity-contrast insula,AUD
1376_vs_MDD,0.0490375529131327,0.0160048523720883,0.006823130775048,cortical grey-white contrast,internalizing,0.0060758753897531,1376,MDD,True,wg lh intensity-contrast isthmuscingulate,MDD
1376_vs_ANX,0.0782544516780338,0.0208637257069119,0.0006481726412345,cortical grey-white contrast,internalizing,0.0144551976912787,1376,ANX,True,wg lh intensity-contrast isthmuscingulate,ANX
1376_vs_CUD,0.135153714674375,0.0441645669191492,0.0069008746246034,cortical grey-white contrast,substance use,0.0,1376,CUD,False,wg lh intensity-contrast isthmuscingulate,CUD
SCZ_vs_1377,0.0598004333519334,0.0184293719646235,0.0038419746234859,bd/scz,cortical grey-white contrast,0.0,SCZ,1377,False,SCZ,wg lh intensity-contrast lateraloccipital
1377_vs_MDD,0.0426274784918113,0.0127837554756694,0.0028504595165979,cortical grey-white contrast,internalizing,0.0051614506803674,1377,MDD,True,wg lh intensity-contrast lateraloccipital,MDD
1378_vs_MDD,0.0410267026521613,0.012855913748589,0.0045697480223453,cortical grey-white contrast,internalizing,0.006740362311477,1378,MDD,True,wg lh intensity-contrast lateralorbitofrontal,MDD
1378_vs_AUD,0.0314572980548789,0.0097002239843289,0.0038659723646691,cortical grey-white contrast,substance use,0.0001542517106236,1378,AUD,True,wg lh intensity-contrast lateralorbitofrontal,AUD
1380_vs_MDD,0.0535363036990545,0.015172441843876,0.001458162636974,cortical grey-white contrast,internalizing,0.0001510066515813,1380,MDD,True,wg lh intensity-contrast medialorbitofrontal,MDD
1380_vs_TUD,0.0306604696165293,0.0101945193720105,0.0081067495097674,cortical grey-white contrast,substance use,0.011920642819708,1380,TUD,True,wg lh intensity-contrast medialorbitofrontal,TUD
1381_vs_MDD,0.0665461643312436,0.0140269058012469,9.45392630835326e-06,cortical grey-white contrast,internalizing,0.0202950169341573,1381,MDD,True,wg lh intensity-contrast middletemporal,MDD
1381_vs_AUD,0.0330381562981652,0.0106623011163175,0.0061293228715859,cortical grey-white contrast,substance use,0.0012054405043711,1381,AUD,True,wg lh intensity-contrast middletemporal,AUD
1382_vs_AUD,0.057637733885574,0.0160509255371876,0.0011664353582347,cortical grey-white contrast,substance use,0.0138936968047122,1382,AUD,True,wg lh intensity-contrast parahippocampal,AUD
1384_vs_AUD,0.0411013310213181,0.0112592582414837,0.000940584019751,cortical grey-white contrast,substance use,0.0032680226040347,1384,AUD,True,wg lh intensity-contrast parsopercularis,AUD
MDD_vs_1386,-0.178664864342612,0.0590983563185054,0.0077304776322257,internalizing,cortical grey-white contrast,0.0,MDD,1386,False,MDD,wg lh intensity-contrast parstriangularis
1386_vs_AUD,0.0589775940395743,0.0152325970657097,0.0004076929708006,cortical grey-white contrast,substance use,0.01267076169849,1386,AUD,True,wg lh intensity-contrast parstriangularis,AUD
1389_vs_MDD,0.0577561617710734,0.0172471825265106,0.0027177619457265,cortical grey-white contrast,internalizing,0.0070198964186802,1389,MDD,True,wg lh intensity-contrast posteriorcingulate,MDD
1391_vs_AUD,0.0422717254127184,0.0098072479914067,6.743340920364611e-05,cortical grey-white contrast,substance use,0.0166418167506263,1391,AUD,True,wg lh intensity-contrast precuneus,AUD
1392_vs_AUD,0.0437931993481618,0.0130678496420919,0.0026945287389395,cortical grey-white contrast,substance use,0.008055499447019,1392,AUD,True,wg lh intensity-contrast rostralanteriorcingulate,AUD
1393_vs_AUD,0.0350048233222719,0.0094618338732715,0.0007849345679816,cortical grey-white contrast,substance use,0.0092767680376894,1393,AUD,True,wg lh intensity-contrast rostralmiddlefrontal,AUD
1394_vs_MDD,0.035725578232486,0.0117522609827051,0.0073430308648838,cortical grey-white contrast,internalizing,0.0062931086047844,1394,MDD,True,wg lh intensity-contrast superiorfrontal,MDD
1395_vs_MDD,0.0431428264627797,0.0130306111582142,0.003085979830216,cortical grey-white contrast,internalizing,0.0083423463158967,1395,MDD,True,wg lh intensity-contrast superiorparietal,MDD
1395_vs_AUD,0.036521450248362,0.0108216555329585,0.0024889387321474,cortical grey-white contrast,substance use,0.005859647431505,1395,AUD,True,wg lh intensity-contrast superiorparietal,AUD
1396_vs_AUD,0.0441466236079504,0.0098827177274899,3.387511873996553e-05,cortical grey-white contrast,substance use,0.0112720182107229,1396,AUD,True,wg lh intensity-contrast superiortemporal,AUD
1397_vs_AUD,0.0455057531781194,0.0105975187459203,7.229210939884906e-05,cortical grey-white contrast,substance use,0.0125318195880813,1397,AUD,True,wg lh intensity-contrast supramarginal,AUD
1403_vs_AUD,0.0476684878847995,0.0118297715810695,0.0002177069825107,cortical grey-white contrast,substance use,0.0069161887795289,1403,AUD,True,wg rh intensity-contrast bankssts,AUD
1403_vs_CUD,0.142168511552153,0.0461675401960175,0.0065057336074361,cortical grey-white contrast,substance use,0.0,1403,CUD,False,wg rh intensity-contrast bankssts,CUD
1405_vs_MDD,0.0510133347293694,0.0158240179136519,0.0041151964931097,cortical grey-white contrast,internalizing,0.0081776164316084,1405,MDD,True,wg rh intensity-contrast caudalmiddlefrontal,MDD
1405_vs_ANX,0.0900262062463284,0.023010322255334,0.0003478706085257,cortical grey-white contrast,internalizing,0.0155395694233661,1405,ANX,True,wg rh intensity-contrast caudalmiddlefrontal,ANX
1433_vs_AUD,0.0523099518372224,0.0156935897916898,0.0028633186772182,cortical grey-white contrast,substance use,0.0046799969937562,1433,AUD,True,wg rh intensity-contrast frontalpole,AUD
1408_vs_BD,-0.0888519593895659,0.0249637471804423,0.0013061137972543,cortical grey-white contrast,bd/scz,-0.0200645940019609,1408,BD,True,wg rh intensity-contrast fusiform,BD
1408_vs_MDD,0.0641514760128988,0.0140258900739644,2.0890792090916876e-05,cortical grey-white contrast,internalizing,0.0195614227227607,1408,MDD,True,wg rh intensity-contrast fusiform,MDD
1408_vs_AUD,0.0543331157918305,0.0110363341800649,3.9678682924130585e-06,cortical grey-white contrast,substance use,0.0179128030922653,1408,AUD,True,wg rh intensity-contrast fusiform,AUD
1409_vs_MDD,0.0610867183727645,0.012140088195558,2.312427199866924e-06,cortical grey-white contrast,internalizing,0.0201145275380649,1409,MDD,True,wg rh intensity-contrast inferiorparietal,MDD
1409_vs_AUD,0.0268777515997848,0.0087688206965413,0.0067975022344194,cortical grey-white contrast,substance use,0.005062355935787,1409,AUD,True,wg rh intensity-contrast inferiorparietal,AUD
1410_vs_MDD,0.0538609257371264,0.0124099798967842,5.9230310341179926e-05,cortical grey-white contrast,internalizing,0.0101176017022274,1410,MDD,True,wg rh intensity-contrast inferiortemporal,MDD
1410_vs_AUD,0.0322268186956088,0.0095619616326557,0.0025271250878223,cortical grey-white contrast,substance use,0.0058822044793916,1410,AUD,True,wg rh intensity-contrast inferiortemporal,AUD
1410_vs_CUD,-0.0969662509582689,0.0324507644431706,0.0085977546180556,cortical grey-white contrast,substance use,0.0,1410,CUD,False,wg rh intensity-contrast inferiortemporal,CUD
1436_vs_AUD,0.0408676258499297,0.013380077711668,0.0070255237324885,cortical grey-white contrast,substance use,0.0022108072520933,1436,AUD,True,wg rh intensity-contrast insula,AUD
1411_vs_TUD,-0.0563655149101214,0.0144208166340689,0.0003531716381017,cortical grey-white contrast,substance use,-0.0144025814726644,1411,TUD,True,wg rh intensity-contrast isthmuscingulate,TUD
1411_vs_AUD,0.0449511517226862,0.0148612627906722,0.0076955708912194,cortical grey-white contrast,substance use,0.0045814278077739,1411,AUD,True,wg rh intensity-contrast isthmuscingulate,AUD
SCZ_vs_1412,0.0593412653927111,0.0183557535493692,0.0039961469104507,bd/scz,cortical grey-white contrast,0.0,SCZ,1412,False,SCZ,wg rh intensity-contrast lateraloccipital
1413_vs_AUD,0.0413364588031643,0.0112403972843385,0.00085238510181,cortical grey-white contrast,substance use,0.0012703397146798,1413,AUD,True,wg rh intensity-contrast lateralorbitofrontal,AUD
1415_vs_AUD,0.0457221488269785,0.0105395296108193,5.973908558939541e-05,cortical grey-white contrast,substance use,0.0030449651808068,1415,AUD,True,wg rh intensity-contrast medialorbitofrontal,AUD
1416_vs_AUD,0.048007941537145,0.0093674140789433,1.4387581486322875e-06,cortical grey-white contrast,substance use,0.0125637173498105,1416,AUD,True,wg rh intensity-contrast middletemporal,AUD
1418_vs_TUD,-0.0948121083315638,0.0248978568891186,0.0005211716158314,cortical grey-white contrast,substance use,-0.0080721962752543,1418,TUD,True,wg rh intensity-contrast paracentral,TUD
1417_vs_MDD,0.0785115854032731,0.0194356860173706,0.0002090464206636,cortical grey-white contrast,internalizing,0.0146822262869396,1417,MDD,True,wg rh intensity-contrast parahippocampal,MDD
1417_vs_ANX,0.0773276538107743,0.0247427989662273,0.0056383506699678,cortical grey-white contrast,internalizing,0.0,1417,ANX,False,wg rh intensity-contrast parahippocampal,ANX
1417_vs_AUD,0.0489015377478106,0.0137329979423097,0.001298521761996,cortical grey-white contrast,substance use,0.0071171667180733,1417,AUD,True,wg rh intensity-contrast parahippocampal,AUD
1419_vs_MDD,0.0444037075106262,0.0142369908498871,0.005753276090074,cortical grey-white contrast,internalizing,0.0057307250818946,1419,MDD,True,wg rh intensity-contrast parsopercularis,MDD
1419_vs_AUD,0.0416325559867658,0.0116279151832895,0.0012112482347125,cortical grey-white contrast,substance use,0.003728462581397,1419,AUD,True,wg rh intensity-contrast parsopercularis,AUD
ADHD_vs_1421,-0.15283709205957,0.0485184691531214,0.0052140714930003,neurodevelopmental,cortical grey-white contrast,0.0,ADHD,1421,False,ADHD,wg rh intensity-contrast parstriangularis
1421_vs_AUD,0.0449111436350403,0.0122822406666555,0.0009202679698809,cortical grey-white contrast,substance use,0.0061348128417891,1421,AUD,True,wg rh intensity-contrast parstriangularis,AUD
1424_vs_AUD,0.0396236456681578,0.012112001216101,0.0035192622727009,cortical grey-white contrast,substance use,0.0015706874308389,1424,AUD,True,wg rh intensity-contrast posteriorcingulate,AUD
1425_vs_AUD,0.0494168098707772,0.016371142344603,0.0078435331871136,cortical grey-white contrast,substance use,0.0041938089593593,1425,AUD,True,wg rh intensity-contrast precentral,AUD
1426_vs_MDD,0.0354449869536803,0.0115242332854417,0.0065810638577662,cortical grey-white contrast,internalizing,0.0064841088938102,1426,MDD,True,wg rh intensity-contrast precuneus,MDD
1426_vs_AUD,0.0513375477211557,0.0098878851658285,1.0184566182127048e-06,cortical grey-white contrast,substance use,0.0224001681119485,1426,AUD,True,wg rh intensity-contrast precuneus,AUD
1426_vs_CUD,0.137871034005196,0.0316359061010942,5.481077598547062e-05,cortical grey-white contrast,substance use,0.0134677060399393,1426,CUD,True,wg rh intensity-contrast precuneus,CUD
1428_vs_AUD,0.0532553694281522,0.01029432227484,1.121972250377439e-06,cortical grey-white contrast,substance use,0.0115931428362257,1428,AUD,True,wg rh intensity-contrast rostralmiddlefrontal,AUD
1429_vs_MDD,0.0421824937314067,0.0127282629332735,0.0030532524983885,cortical grey-white contrast,internalizing,0.0076738506385408,1429,MDD,True,wg rh intensity-contrast superiorfrontal,MDD
1429_vs_AUD,0.0385218837907043,0.0114083419954243,0.0024737482673743,cortical grey-white contrast,substance use,0.0055303226663584,1429,AUD,True,wg rh intensity-contrast superiorfrontal,AUD
1430_vs_MDD,0.0470419308201058,0.0137070449378482,0.002046109171277,cortical grey-white contrast,internalizing,0.0088820782752346,1430,MDD,True,wg rh intensity-contrast superiorparietal,MDD
1430_vs_AUD,0.0341914295865607,0.0100852749067511,0.0023622875737735,cortical grey-white contrast,substance use,0.0062002989619952,1430,AUD,True,wg rh intensity-contrast superiorparietal,AUD
1431_vs_AUD,0.0306055132434697,0.0095154802325706,0.0042134040682509,cortical grey-white contrast,substance use,0.0044528108620352,1431,AUD,True,wg rh intensity-contrast superiortemporal,AUD
1432_vs_MDD,0.0373445863352129,0.0126760502260665,0.0097483272137451,cortical grey-white contrast,internalizing,0.0044948863871733,1432,MDD,True,wg rh intensity-contrast supramarginal,MDD
1432_vs_AUD,0.0371282279515423,0.0099215726832908,0.0006691366441893,cortical grey-white contrast,substance use,0.0052241950974136,1432,AUD,True,wg rh intensity-contrast supramarginal,AUD
